StudentID,Date,Status
S0001,1/1/2023,Absent
S0001,1/2/2023,Absent
S0001,1/3/2023,Present
S0001,1/4/2023,Absent
S0001,1/5/2023,Present
S0001,1/6/2023,Late
S0001,1/7/2023,Late
S0001,1/8/2023,Present
S0001,1/9/2023,Present
S0001,1/10/2023,Late
S0001,1/11/2023,Late
S0001,1/12/2023,Absent
S0001,1/13/2023,Late
S0001,1/14/2023,Absent
S0001,1/15/2023,Late
S0001,1/16/2023,Late
S0001,1/17/2023,Present
S0001,1/18/2023,Late
S0001,1/19/2023,Late
S0001,1/20/2023,Late
S0001,1/21/2023,Present
S0001,1/22/2023,Absent
S0001,1/23/2023,Late
S0001,1/24/2023,Late
S0001,1/25/2023,Late
S0001,1/26/2023,Present
S0001,1/27/2023,Absent
S0001,1/28/2023,Present
S0001,1/29/2023,Present
S0001,1/30/2023,Absent
S0001,1/31/2023,Present
S0001,2/1/2023,Late
S0001,2/2/2023,Late
S0001,2/3/2023,Absent
S0001,2/4/2023,Present
S0001,2/5/2023,Absent
S0001,2/6/2023,Late
S0001,2/7/2023,Present
S0001,2/8/2023,Present
S0001,2/9/2023,Absent
S0001,2/10/2023,Late
S0001,2/11/2023,Absent
S0001,2/12/2023,Late
S0001,2/13/2023,Late
S0001,2/14/2023,Absent
S0001,2/15/2023,Present
S0001,2/16/2023,Present
S0001,2/17/2023,Absent
S0001,2/18/2023,Late
S0001,2/19/2023,Absent
S0002,1/1/2023,Present
S0002,1/2/2023,Absent
S0002,1/3/2023,Late
S0002,1/4/2023,Late
S0002,1/5/2023,Present
S0002,1/6/2023,Absent
S0002,1/7/2023,Absent
S0002,1/8/2023,Late
S0002,1/9/2023,Late
S0002,1/10/2023,Present
S0002,1/11/2023,Present
S0002,1/12/2023,Present
S0002,1/13/2023,Late
S0002,1/14/2023,Absent
S0002,1/15/2023,Late
S0002,1/16/2023,Late
S0002,1/17/2023,Present
S0002,1/18/2023,Present
S0002,1/19/2023,Present
